epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,4180.69,1.31161,1.38707,1.24045,0.73573,0.55495,0.5846,0.40365,1.26554,1.2458,1.1251,0.00051304,0.00051304,0.00051304
68,4238.75,1.26935,1.40452,1.22052,0.79134,0.55681,0.60084,0.41932,1.25766,1.30899,1.1269,0.00050704,0.00050704,0.00050704
69,4296.32,1.32609,1.50527,1.2212,0.79761,0.53242,0.60525,0.40476,1.33647,1.33449,1.14766,0.000501041,0.000501041,0.000501041
70,4353.9,1.25763,1.40306,1.17857,0.76248,0.54146,0.58662,0.38739,1.39306,1.34315,1.18597,0.000495041,0.000495041,0.000495041
71,4411.4,1.26084,1.3552,1.22328,0.77852,0.56079,0.60874,0.38377,1.36374,1.29385,1.17767,0.000489042,0.000489042,0.000489042
72,4469.44,1.24492,1.35076,1.21336,0.57434,0.56179,0.59302,0.38705,1.31338,1.24073,1.13618,0.000483043,0.000483043,0.000483043
73,4527.19,1.3038,1.44849,1.26073,0.87279,0.50508,0.60619,0.39235,1.31414,1.24122,1.15023,0.000477043,0.000477043,0.000477043
74,4584.61,1.37257,1.57781,1.25506,0.68464,0.49176,0.59206,0.37368,1.36524,1.22001,1.16002,0.000471044,0.000471044,0.000471044
75,4641.85,1.26337,1.35793,1.24121,0.47333,0.65254,0.59163,0.37792,1.36796,1.23001,1.15085,0.000465044,0.000465044,0.000465044
76,4700.46,1.28659,1.46832,1.24836,0.51534,0.6372,0.61102,0.39273,1.31439,1.24937,1.12827,0.000459045,0.000459045,0.000459045
77,4759.6,1.23995,1.31487,1.22437,0.69233,0.6181,0.63058,0.42295,1.19455,1.20331,1.088,0.000453046,0.000453046,0.000453046
78,4824.08,1.23617,1.32766,1.22319,0.69293,0.61745,0.61582,0.41707,1.1149,1.19009,1.06509,0.000447046,0.000447046,0.000447046
79,4886.82,1.20009,1.21854,1.17215,0.69711,0.58886,0.60416,0.40754,1.11629,1.17174,1.06113,0.000441047,0.000441047,0.000441047
80,4948.5,1.34443,1.44907,1.28456,0.72126,0.6165,0.60911,0.40108,1.17464,1.18664,1.0735,0.000435047,0.000435047,0.000435047
81,5008.2,1.25198,1.31546,1.20996,0.78429,0.61479,0.61136,0.39414,1.27456,1.24055,1.10166,0.000429048,0.000429048,0.000429048
82,5066.82,1.32078,1.45044,1.23335,0.74189,0.61764,0.59894,0.38476,1.29354,1.26011,1.09644,0.000423049,0.000423049,0.000423049
83,5124.82,1.17406,1.22026,1.14365,0.71192,0.61543,0.58313,0.37322,1.28168,1.26464,1.09273,0.000417049,0.000417049,0.000417049
84,5182.79,1.21382,1.32759,1.18428,0.78351,0.51702,0.57353,0.36653,1.26952,1.26685,1.08789,0.00041105,0.00041105,0.00041105
85,5240.63,1.28741,1.36887,1.23304,0.67724,0.54866,0.5606,0.36903,1.22484,1.2146,1.08036,0.00040505,0.00040505,0.00040505
86,5299.49,1.29826,1.3894,1.2184,0.67902,0.55901,0.56717,0.386,1.1634,1.155,1.05868,0.000399051,0.000399051,0.000399051
87,5360.13,1.25037,1.32821,1.22184,0.74085,0.53772,0.57345,0.38426,1.16192,1.16157,1.06053,0.000393052,0.000393052,0.000393052
88,5420.13,1.29664,1.35728,1.17444,0.66952,0.60947,0.58572,0.39489,1.18305,1.18018,1.06348,0.000387052,0.000387052,0.000387052
